type,name,notice,furigana
もえるごみ,アイスノン,,あ
容器包装プラ,アイスの容器,紙類は雑紙,あ
燃えないごみ,アイロン,50cm以上は粗大ごみ,あ
粗大ごみ,アイロン台,50cm未満はもえないごみ,あ
粗大ごみ,アコーディオンカーテン,丸めて広がらないようにひもでしばる,あ
もえるごみ,足ふきマット,30cm以上は粗大ごみ（丸める）,あ
粗大ごみ,アタッシュケース,,あ
